prompt_id,query_family,intent,funnel_stage,market,language,prompt_variant,platform,model,account_condition,device_condition,run_at,valid_run,our_domain_cited,our_url_cited,citation_order,competitor_domains,brand_treatment,claim_accuracy,click_opportunity,response_archive,notes
urgent-austin-01,urgent Austin courier,find an urgent Austin courier,transactional,"Austin, TX",en-US,"Who can handle an urgent business courier pickup in Austin?",,,,,,,,,,,,,,,
urgent-austin-02,urgent Austin courier,find an urgent Austin courier,transactional,"Austin, TX",en-US,"Which Austin courier services take time-critical B2B requests?",,,,,,,,,,,,,,,
urgent-austin-03,urgent Austin courier,find an urgent Austin courier,transactional,"Austin, TX",en-US,"I need a rush courier originating in Austin—what are my options?",,,,,,,,,,,,,,,
line-down-01,hot shot and line-down,move an urgent manufacturing part,transactional,"Austin, TX",en-US,"Who offers hot shot delivery for a line-down part from Austin?",,,,,,,,,,,,,,,
line-down-02,hot shot and line-down,move an urgent manufacturing part,transactional,"Austin, TX",en-US,"Find an Austin-origin courier for an urgent production component.",,,,,,,,,,,,,,,
line-down-03,hot shot and line-down,move an urgent manufacturing part,transactional,"Austin, TX",en-US,"What courier can quote an Austin manufacturing line-down shipment?",,,,,,,,,,,,,,,
aog-nfo-01,AOG and NFO,coordinate airport cargo or an AOG part,transactional,"Austin, TX",en-US,"Who handles Austin airport recovery or AOG courier requests?",,,,,,,,,,,,,,,
aog-nfo-02,AOG and NFO,coordinate airport cargo or an AOG part,transactional,"Austin, TX",en-US,"Find a courier for an NFO cargo recovery at Austin airport.",,,,,,,,,,,,,,,
aog-nfo-03,AOG and NFO,coordinate airport cargo or an AOG part,transactional,"Austin, TX",en-US,"Which Austin courier can evaluate an urgent aircraft-part pickup?",,,,,,,,,,,,,,,
obc-01,OBC and hand carry,move eligible cargo with an accompanying traveler,transactional,"Austin, TX",en-US,"Who offers air hand carry from Austin?",,,,,,,,,,,,,,,
obc-02,OBC and hand carry,move eligible cargo with an accompanying traveler,transactional,"Austin, TX",en-US,"Find an Austin-origin on-board courier service.",,,,,,,,,,,,,,,
obc-03,OBC and hand carry,move eligible cargo with an accompanying traveler,transactional,"Austin, TX",en-US,"What companies evaluate accompanied-air shipments from Austin?",,,,,,,,,,,,,,,
legal-01,legal and secure delivery,move time-sensitive legal documents,transactional,"Austin, TX",en-US,"Who provides time-sensitive legal document delivery in Austin?",,,,,,,,,,,,,,,
legal-02,legal and secure delivery,move time-sensitive legal documents,transactional,"Austin, TX",en-US,"Find an Austin courier for an urgent authorized document handoff.",,,,,,,,,,,,,,,
legal-03,legal and secure delivery,move time-sensitive legal documents,transactional,"Austin, TX",en-US,"Which Austin courier explains legal-document delivery limits clearly?",,,,,,,,,,,,,,,
secure-01,high-value courier,evaluate sensitive-item transport,transactional,"Austin, TX",en-US,"Who evaluates high-value courier requests in Austin?",,,,,,,,,,,,,,,
secure-02,high-value courier,evaluate sensitive-item transport,transactional,"Austin, TX",en-US,"Find an Austin secure-item courier with job-specific custody terms.",,,,,,,,,,,,,,,
secure-03,high-value courier,evaluate sensitive-item transport,transactional,"Austin, TX",en-US,"What courier can review a sensitive Austin shipment without blanket insurance claims?",,,,,,,,,,,,,,,
